Country Name,Trade_Freedom,Corporate_Tax_Rate,Population_Millions,GDP_Billions_PPP
Afghanistan,66,20,35.5,69.60
Albania,87.8,15,2.9,36.00
Algeria,67.4,23,41.5,632.90
Angola,61.2,30,28.2,190.30
Argentina,70,30,44.1,920.20
Armenia,80.8,20,3,28.30
Australia,87.6,30,24.8,1246.50
Austria,86,25,8.8,439.60
Azerbaijan,74.6,20,9.8,171.80
Bangladesh,63.6,45,163.2,687.10
Barbados,56.6,25,0.3,5.20
Belarus,76.4,18,9.5,178.90
Belgium,86,29,11.4,528.50
Belize,64,25,0.4,3.20
Benin,61.8,30,11.1,25.30
Bhutan,79.4,30,0.8,7.00
Bolivia,70.4,25,11.1,83.60
Bosnia and Herzegovina,82.6,10,3.5,44.60
Botswana,83.8,22,2.2,38.90
Brazil,69,34,207.7,3240.30
Brunei Darussalam,84,18.5,0.4,33.50
Bulgaria,86,10,7.1,153.10
Burkina Faso,65.2,28,18.9,35.80
Burma,70.8,30,52.6,328.70
Burundi,68.2,35,10.9,8.00
Cambodia,65.4,20,16,64.30
Cameroon,53.4,33,24.3,88.90
Canada,86.8,15,36.7,1769.30
Cabo Verde,68.2,24,0.5,3.70
Central African Republic,51,30,5,3.40
Chad,47.2,45,12.2,28.60
Chile,88.8,25,18.4,451.10
China,73,25,1390.1,23159.10
Colombia,76,33,49.3,714.00
Comoros,70,50,0.8,1.30
"Congo, Democratic Republic of the Congo",62.6,40,86.7,68.50
"Congo, Republic of",56.8,34,4.3,28.90
Costa Rica,81.4,30,5,83.90
Côte d'Ivoire,73.6,25,25,96.90
Croatia,86,18,4.1,101.30
Cuba,64,30,11.5,148.00
Cyprus,86,12.5,0.9,31.60
Czech Republic,86,19,10.6,375.70
Denmark,86,23.5,5.7,286.80
Djibouti,50.4,25,1,3.60
Dominica,68.2,30,0.1,0.80
Dominican Republic,75.8,27,10.2,172.40
Ecuador,66.4,25,16.8,192.60
Egypt,71.8,23,94.8,1201.20
El Salvador,81.4,30,6.4,57.00
Equatorial Guinea,48.8,35,0.8,30.40
Eritrea,69.2,30,5.9,9.40
Estonia,86,20,1.3,41.60
Eswatini,87.6,28,1.1,11.30
Ethiopia,60.8,30,92.7,200.20
Fiji,62.8,20,0.9,8.70
Finland,86,20,5.5,244.00
France,81,33,64.8,2835.80
Gabon,51.2,30,1.9,36.70
Gambia,61.6,32,2.1,3.60
Georgia,88.6,15,3.7,39.70
Germany,86,15.8,82.7,4170.80
Ghana,63.4,25,28.3,133.70
Greece,81,29,10.8,298.70
Guatemala,82.2,31,16.9,137.80
Guinea,63.2,35,13,26.50
Guinea-Bissau,55.6,25,1.7,3.10
Guyana,66.8,40,0.8,6.30
Haiti,72,30,11,19.90
Honduras,79.4,25,8.3,46.20
Hong Kong,95,16.5,7.4,454.90
Hungary,86,19,9.8,289.00
Iceland,87,20,0.3,17.60
India,72.4,32.4,1316.9,9459.00
Indonesia,79.8,25,262,3242.80
Iran,54.6,25,81.4,1644.70
Ireland,86,12.5,4.7,357.20
Israel,84.4,23,8.7,316.50
Italy,86,27.5,60.6,2310.90
Jamaica,68.4,25,2.8,26.10
Japan,80,23.9,126.7,5428.80
Jordan,81.4,20,7.1,89.10
Kazakhstan,80,20,18.2,477.60
Kenya,60.4,30,46.7,163.10
Kiribati,53.2,35,0.1,0.20
"Korea, South",80.4,27.5,51.5,2029.00
Kosovo,70.8,10,1.9,19.60
Kuwait,79,15,4.4,291.50
Kyrgyz Republic,78.6,10,6.3,23.00
