Country Name,Judical Effectiveness,Gov't Spending,Trade_Freedom,Corporate_Tax_Rate,Population_Millions,GDP_Billions_PPP
Afghanistan,29.6,80.3,66,20,35.5,69.60
Albania,30.6,73.9,87.8,15,2.9,36.00
Algeria,36.2,48.7,67.4,23,41.5,632.90
Angola,26.6,80.7,61.2,30,28.2,190.30
Argentina,44.5,49.5,70,30,44.1,920.20
Armenia,46.3,79,80.8,20,3,28.30
Australia,86.5,60.1,87.6,30,24.8,1246.50
Austria,71.3,24.5,86,25,8.8,439.60
Azerbaijan,53.1,59.5,74.6,20,9.8,171.80
Bangladesh,34.5,94.5,63.6,45,163.2,687.10
Barbados,59.9,65,56.6,25,0.3,5.20
Belarus,51.7,41.3,76.4,18,9.5,178.90
Belgium,61.6,15.2,86,29,11.4,528.50
Belize,46.9,65.9,64,25,0.4,3.20
Benin,32.8,83.4,61.8,30,11.1,25.30
Bhutan,55.4,71.6,79.4,30,0.8,7.00
Bolivia,12.3,49.3,70.4,25,11.1,83.60
Bosnia and Herzegovina,37.9,46.1,82.6,10,3.5,44.60
Botswana,45.7,65.9,83.8,22,2.2,38.90
Brazil,51.7,55.2,69,34,207.7,3240.30
Brunei Darussalam,56,59.9,84,18.5,0.4,33.50
Bulgaria,41.9,63.9,86,10,7.1,153.10
Burkina Faso,42.9,80,65.2,28,18.9,35.80
Burma,18.1,85.4,70.8,30,52.6,328.70
Burundi,31,83.3,68.2,35,10.9,8.00
Cambodia,27.6,85.9,65.4,20,16,64.30
Cameroon,31.3,87.5,53.4,33,24.3,88.90
Canada,69.4,51.3,86.8,15,36.7,1769.30
Cabo Verde,49,71.2,68.2,24,0.5,3.70
Central African Republic,29.6,94.2,51,30,5,3.40
Chad,24.6,92.4,47.2,45,12.2,28.60
Chile,56.3,81,88.8,25,18.4,451.10
China,75.2,70.1,73,25,1390.1,23159.10
Colombia,34.3,75,76,33,49.3,714.00
Comoros,29.6,73.4,70,50,0.8,1.30
"Congo, Democratic Republic of the Congo",30.7,93.9,62.6,40,86.7,68.50
"Congo, Republic of",29.6,40.6,56.8,34,4.3,28.90
Costa Rica,54,88.4,81.4,30,5,83.90
Côte d'Ivoire,47.8,83.9,73.6,25,25,96.90
Croatia,42.9,33.4,86,18,4.1,101.30
Cuba,10,0,64,30,11.5,148.00
Cyprus,48.1,55.2,86,12.5,0.9,31.60
Czech Republic,47.6,52.1,86,19,10.6,375.70
Denmark,77.8,14.4,86,23.5,5.7,286.80
Djibouti,18.1,27.3,50.4,25,1,3.60
Dominica,63.8,53.5,68.2,30,0.1,0.80
Dominican Republic,18.1,90.3,75.8,27,10.2,172.40
Ecuador,20.2,55.5,66.4,25,16.8,192.60
Egypt,48.3,68.1,71.8,23,94.8,1201.20
El Salvador,29.1,86.3,81.4,30,6.4,57.00
Equatorial Guinea,18.1,67.6,48.8,35,0.8,30.40
Eritrea,18.1,73.9,69.2,30,5.9,9.40
Estonia,76,51.1,86,20,1.3,41.60
Eswatini,42.9,65.6,87.6,28,1.1,11.30
Ethiopia,40.9,90.4,60.8,30,92.7,200.20
Fiji,42.9,71.7,62.8,20,0.9,8.70
Finland,81.2,7.2,86,20,5.5,244.00
France,66.1,3.9,81,33,64.8,2835.80
Gabon,30.6,86.6,51.2,30,1.9,36.70
Gambia,42.5,70.7,61.6,32,2.1,3.60
Georgia,54.6,73.6,88.6,15,3.7,39.70
Germany,75.4,42.3,86,15.8,82.7,4170.80
Ghana,44.2,82,63.4,25,28.3,133.70
Greece,49.5,23.3,81,29,10.8,298.70
Guatemala,32.3,95.6,82.2,31,16.9,137.80
Guinea,32.6,89.8,63.2,35,13,26.50
Guinea-Bissau,42.9,86.7,55.6,25,1.7,3.10
Guyana,42.9,69.4,66.8,40,0.8,6.30
Haiti,25.3,88.3,72,30,11,19.90
Honduras,31,78.2,79.4,25,8.3,46.20
Hong Kong,75.3,90.3,95,16.5,7.4,454.90
Hungary,45.2,31.7,86,19,9.8,289.00
Iceland,63.8,44,87,20,0.3,17.60
India,61.6,77.3,72.4,32.4,1316.9,9459.00
Indonesia,53.5,91.4,79.8,25,262,3242.80
Iran,41.3,89.8,54.6,25,81.4,1644.70
Ireland,68.4,77.4,86,12.5,4.7,357.20
Israel,73.4,52.4,84.4,23,8.7,316.50
Italy,49.8,26.5,86,27.5,60.6,2310.90
Jamaica,49.2,76,68.4,25,2.8,26.10
Japan,68.5,55,80,23.9,126.7,5428.80
Jordan,52.6,73.4,81.4,20,7.1,89.10
Kazakhstan,56.1,83.7,80,20,18.2,477.60
Kenya,46.9,77.8,60.4,30,46.7,163.10
Kiribati,34.3,0,53.2,35,0.1,0.20
"Korea, South",57.5,68.6,80.4,27.5,51.5,2029.00
Kosovo,53.5,77.7,70.8,10,1.9,19.60
Kuwait,43.3,17.3,79,15,4.4,291.50
Kyrgyz Republic,27.9,54.2,78.6,10,6.3,23.00
Laos,42.5,85.3,81.8,24,6.7,49.20
Latvia,48.4,57.1,86,20,2,53.90
Lebanon,26.6,75.6,79,15,4.5,87.70
Lesotho,45.7,33,81,25,1.9,7.00
Liberia,39,62.1,60.1,25,4.5,6.10
Lithuania,61.2,65.1,86,15,2.8,91.20
Luxembourg,72.4,46.6,86,18,0.6,62.70
Macau,60,90.4,90,39,0.6,71.80
Macedonia,60.7,70,82,10,2.1,31.00
Madagascar,24.4,91.8,69.2,20,25.6,39.70
Malawi,40.1,70.3,75.4,30,19.2,22.40
Malaysia,68.2,83.2,82,25,32.1,930.80
Mali,33.4,85.4,69.8,35,18.9,41.00
Malta,50.4,56.1,86,35,0.5,19.30
Mauritania,30.6,74.2,62.6,25,3.9,17.30
Mauritius,62.1,80.3,88.4,15,1.3,27.50
Mexico,34.9,78.2,81.4,30,123.5,2458.40
Micronesia,26.6,0,80.6,21,0.1,0.30
Moldova,29.6,59.1,78,12,3.5,20.10
Mongolia,23.8,63.1,75.8,25,3.1,39.70
Montenegro,51.8,32.6,84.7,9,0.6,11.00
Morocco,47.1,72.7,77.4,30,34.9,298.60
Mozambique,35.2,66.9,78,32,29.5,36.70
Namibia,54.7,48.9,83,34,2.3,26.50
Nepal,34.7,83.7,60.4,25,29.3,78.60
Netherlands,74.7,42.9,86,25,17.1,916.10
New Zealand,83.5,50.4,92.4,28,4.8,188.60
Nicaragua,18.7,79.1,76,30,6.2,36.40
Niger,31,75.6,65.8,30,18.8,21.80
Nigeria,34.3,96.5,62.4,30,188.7,1118.80
Norway,81.2,25.3,83.2,23,5.3,380.00
Oman,51.6,32.5,87,12,4.1,186.60
Pakistan,40.2,87.6,64.8,30,197.3,1057.00
Panama,30.1,85.3,79.2,25,4.1,103.90
Papua New Guinea,49,89.1,80.9,30,8.3,30.30
Paraguay,30,78.9,76.6,10,7,68.30
Peru,34,86.1,86.4,28,31.8,424.40
Philippines,36.4,88.7,78.2,30,105.3,875.60
Poland,44,48.8,86,19,38,1121.00
Portugal,64.3,35.6,86,23,10.3,313.40
Romania,51.9,69,86,16,19.6,481.50
Russia,45.1,62.3,77.8,20,144,4007.80
Rwanda,83.2,79.4,70.4,30,11.8,24.60
Saint Lucia,63.8,79.3,73.2,30,0.2,2.50
Saint Vincent and the Grenadines,63.8,74.3,66.6,33,0.1,1.30
Samoa,31,62.3,63.8,27,0.2,1.10
São Tomé and Príncipe,26.6,67,64.2,25,0.2,0.70
Saudi Arabia,62.7,57.5,76,2.5,32.4,1773.60
Senegal,40.4,73.3,72,30,15.9,43.20
Serbia,44.8,45.1,77,15,7,105.50
Seychelles,37.5,60.3,81.4,33,0.1,2.70
Sierra Leone,34.5,84.4,69.4,30,7.4,11.50
Singapore,92.4,90.7,94.8,17,5.6,527.00
Slovakia,37.2,46.1,86,21,5.4,179.40
Slovenia,46.5,38.3,86,17,2.1,71.10
Solomon Islands,51.7,36.5,56.8,30,0.6,1.30
South Africa,39.3,67.6,76,28,56.5,765.60
Spain,51.4,46.2,86,25,46.3,1773.90
Sri Lanka,39.4,88.3,76.2,28,21.4,274.70
Sudan,22.2,96.6,45,35,40.8,187.00
Suriname,22.2,77.2,64.6,36,0.6,8.50
Sweden,84,26.7,86,22,10.1,520.90
Switzerland,82,64.8,87.4,24,8.4,517.20
Syria,24.4,0,47,28,18.4,0.00
Taiwan ,70.1,90.6,87,20,23.6,1185.50
Tajikistan,52.1,64.6,73.6,15,8.8,28.40
Tanzania,41.4,90.3,67.8,30,50,162.20
Thailand,45.9,85.8,83,20,69.1,1233.70
Timor-Leste,13.1,0.9,75,10,1.2,6.80
Togo,29.6,77,69.4,27,7.8,12.90
Tonga,26.6,40.9,73.6,25,0.1,0.60
Trinidad and Tobago,40.6,61.9,68.4,25,1.4,43.00
Tunisia,42.7,74.4,71.4,30,11.5,135.40
Turkey,49.8,65.1,79.6,22,80.8,2173.20
Turkmenistan,29.8,92,76,8,5.7,103.50
Uganda,38.5,88.7,75.4,30,37.7,88.70
Ukraine,31.5,46.9,75,18,42.3,368.80
United Kingdom,85.9,48.2,86,20,66.1,2914.00
United States,78.6,57.1,86.6,21,325.9,19390.60
Uruguay,58.9,67.5,78.6,25,3.5,78.10
Uzbekistan,34.3,67.4,62.6,7.5,32.1,222.60
Venezuela,13.1,58.1,60,34,31.4,380.70
Vietnam,40.3,74.1,79.2,22,93.6,647.40
Zambia,35.6,80.1,72.6,35,17.2,68.90
Zimbabwe,24.8,74.5,70,25,14.9,34.00
